Transform ID	 Path ID	 Timestamp	 Measured X	 Measured Y	 Measured Z	Measured Rx	 Measured Ry	 Measured Rz	Reference X	 Reference Y	 Reference Z	Reference Rx	 Reference Ry	 Reference Rz	Linear Deviation
Static.experiemt->EE.Origin	Path_3	2024-10-10-14-56-04.05	-151.4892	-2.0755	45.7791	-175.7375	-3.4525	-167.4258	-151.485	-1.9954	45.9346	-175.711	-3.4668	-167.3726	0.17
Static.experiemt->EE.Origin	Path_3	2024-10-10-14-56-04.25	-151.1432	-1.8996	45.8457	-175.7944	-3.2792	-167.3811	-151.2151	-1.9796	46.0353	-175.6884	-3.448	-167.3492	0.22
Static.experiemt->EE.Origin	Path_3	2024-10-10-14-56-04.35	-151.1175	-2.2193	45.6452	-175.6097	-3.284	-167.2877	-151.5777	-1.994	45.8916	-175.7535	-3.5055	-167.3408	0.57
Static.experiemt->EE.Origin	Path_3	2024-10-10-14-56-05.35	-151.276	-1.7732	45.988	-175.7809	-3.438	-167.465	-151.6008	-2.0631	45.975	-175.7783	-3.4907	-167.3114	0.44
Static.experiemt->EE.Origin	Path_3	2024-10-10-14-56-05.55	-151.3448	-2.0404	45.8853	-175.7203	-3.4608	-167.4442	-151.4049	-1.9411	45.9044	-175.7191	-3.4332	-167.3915	0.12
Static.experiemt->EE.Origin	Path_3	2024-10-10-14-56-05.65	-151.4854	-1.9532	46.0269	-175.8885	-3.4481	-167.4077	-151.6184	-2.0442	45.994	-175.7921	-3.502	-167.3193	0.16
Static.experiemt->EE.Origin	Path_3	2024-10-10-14-56-05.75	-151.507	-1.5962	46.1081	-175.8152	-3.4615	-167.5296	-151.7022	-1.9544	46.0846	-175.8576	-3.5561	-167.357	0.41
Static.experiemt->EE.Origin	Path_3	2024-10-10-14-56-06.65	-151.3219	-2.0533	45.8433	-175.7031	-3.3965	-167.2848	-151.4769	-2.1958	45.8412	-175.6814	-3.4108	-167.2555	0.21
Static.experiemt->EE.Origin	Path_3	2024-10-10-14-56-06.85	-151.342	-2.0268	45.8753	-175.748	-3.4018	-167.4849	-151.3239	-2.0283	45.8553	-175.7345	-3.4142	-167.3488	0.03
Static.experiemt->EE.Origin	Path_3	2024-10-10-14-56-07.05	-151.2778	-2.0972	45.6639	-175.6425	-3.3314	-167.2902	-151.3613	-2.1129	45.8282	-175.6988	-3.4	-167.3047	0.18
Static.experiemt->EE.Origin	Path_3	2024-10-10-14-56-07.55	-151.4494	-2.058	45.8686	-175.6971	-3.4227	-167.4042	-151.5691	-1.9809	45.9757	-175.7412	-3.5003	-167.3659	0.18
Static.experiemt->EE.Origin	Path_3	2024-10-10-14-56-07.75	-151.1955	-2.0446	45.5624	-175.6568	-3.3144	-167.3815	-151.2266	-1.808	45.9259	-175.8276	-3.4516	-167.4639	0.43
Static.experiemt->EE.Origin	Path_3	2024-10-10-14-56-07.95	-151.3853	-2.2916	45.757	-175.7048	-3.4323	-167.3393	-151.5064	-2.01	45.9427	-175.7089	-3.4758	-167.3675	0.36
Static.experiemt->EE.Origin	Path_3	2024-10-10-14-56-08.05	-152.1192	-1.7852	46.5591	-176.0414	-3.8318	-167.5323	-151.7022	-1.9544	46.0846	-175.8576	-3.5561	-167.357	0.65
Static.experiemt->EE.Origin	Path_3	2024-10-10-14-56-08.35	-151.4502	-2.2469	45.7204	-175.6776	-3.3381	-167.2071	-151.4233	-2.2533	45.7832	-175.6394	-3.3763	-167.2313	0.07
Static.experiemt->EE.Origin	Path_3	2024-10-10-14-56-08.45	-151.5621	-2.2674	45.7681	-175.6763	-3.4176	-167.2999	-151.6092	-2.0797	45.9814	-175.6986	-3.519	-167.3432	0.29
Static.experiemt->EE.Origin	Path_3	2024-10-10-14-56-09.15	-151.3787	-2.149	45.8018	-175.7573	-3.3631	-167.4217	-151.5777	-1.994	45.8916	-175.7535	-3.5055	-167.3408	0.27
Static.experiemt->EE.Origin	Path_3	2024-10-10-14-56-09.25	-151.3346	-1.8126	45.8805	-175.6782	-3.4201	-167.4795	-151.4516	-1.7623	45.9496	-175.8279	-3.4475	-167.4193	0.14
Static.experiemt->EE.Origin	Path_3	2024-10-10-14-56-09.55	-151.3903	-1.9417	45.895	-175.8315	-3.3725	-167.4327	-151.3846	-1.8415	45.9775	-175.8516	-3.4984	-167.4546	0.13
Static.experiemt->EE.Origin	Path_3	2024-10-10-14-56-09.65	-151.5427	-2.0216	45.9039	-175.7792	-3.4484	-167.4517	-151.5249	-2.0225	45.9496	-175.707	-3.4836	-167.3632	0.05
Static.experiemt->EE.Origin	Path_3	2024-10-10-14-56-09.85	-151.6709	-2.2459	45.7839	-175.6732	-3.3648	-167.2412	-151.6297	-2.0936	45.9891	-175.6965	-3.5276	-167.3384	0.26
Static.experiemt->EE.Origin	Path_3	2024-10-10-14-56-10.85	-151.3108	-2.2208	45.6604	-175.6588	-3.3169	-167.2468	-151.3005	-1.8237	45.95	-175.8388	-3.4735	-167.4596	0.49
Static.experiemt->EE.Origin	Path_3	2024-10-10-14-56-11.55	-151.287	-1.9064	45.7161	-175.7415	-3.4077	-167.5093	-151.4631	-1.7837	45.9521	-175.8194	-3.4527	-167.4141	0.32
Static.experiemt->EE.Origin	Path_3	2024-10-10-14-56-11.75	-151.2645	-1.8638	45.7248	-175.7814	-3.4244	-167.4155	-151.2266	-1.808	45.9259	-175.8276	-3.4516	-167.4639	0.21
Static.experiemt->EE.Origin	Path_3	2024-10-10-14-56-11.85	-151.3954	-2.2861	45.7013	-175.6833	-3.3548	-167.2837	-151.4233	-2.2533	45.7832	-175.6394	-3.3763	-167.2313	0.09
Static.experiemt->EE.Origin	Path_3	2024-10-10-14-56-12.05	-151.3637	-2.2385	45.7223	-175.6973	-3.3804	-167.2848	-151.4159	-2.2366	45.7885	-175.6465	-3.3791	-167.24	0.08
Static.experiemt->EE.Origin	Path_3	2024-10-10-14-56-12.15	-151.5517	-2.0194	45.9045	-175.7318	-3.4673	-167.3518	-151.5771	-2.0884	45.9494	-175.7598	-3.4754	-167.3007	0.09
Static.experiemt->EE.Origin	Path_3	2024-10-10-14-56-12.25	-151.1851	-1.8256	45.7999	-175.7314	-3.3209	-167.4024	-151.2266	-1.808	45.9259	-175.8276	-3.4516	-167.4639	0.13
Static.experiemt->EE.Origin	Path_3	2024-10-10-14-56-12.35	-151.3305	-2.0978	45.7815	-175.6459	-3.3547	-167.3041	-151.3566	-2.1024	45.8316	-175.7032	-3.4017	-167.3102	0.06
Static.experiemt->EE.Origin	Path_3	2024-10-10-14-56-12.45	-151.5267	-2.368	45.781	-175.6811	-3.3877	-167.1826	-151.6297	-2.0936	45.9891	-175.6965	-3.5276	-167.3384	0.36
Static.experiemt->EE.Origin	Path_3	2024-10-10-14-56-12.85	-151.4923	-2.0412	45.8344	-175.7867	-3.5118	-167.3622	-151.57	-1.9825	45.9759	-175.7405	-3.5007	-167.3655	0.17
Static.experiemt->EE.Origin	Path_3	2024-10-10-14-56-13.65	-151.3511	-1.9374	45.6948	-175.6081	-3.4029	-167.565	-151.293	-1.8221	45.9476	-175.8377	-3.4713	-167.46	0.28
Static.experiemt->EE.Origin	Path_3	2024-10-10-14-56-14.05	-150.5162	-1.4189	47.0973	-175.8987	-3.5035	-167.3216	-149.997	-1.8842	46.703	-175.5218	-3.2907	-167.3541	0.8
Static.experiemt->EE.Origin	Path_3	2024-10-10-14-56-15.05	-73.1794	20.3248	122.9962	-175.8053	-3.321	-167.3389	-72.951	20.3603	122.7547	-175.6503	-3.2645	-167.1806	0.33
Static.experiemt->EE.Origin	Path_3	2024-10-10-14-56-15.15	-64.2767	23.0346	131.5328	-175.6712	-3.3276	-167.2897	-64.1562	22.9096	131.4476	-175.6436	-3.2672	-167.1865	0.19
Static.experiemt->EE.Origin	Path_3	2024-10-10-14-56-15.95	5.5805	43.3737	200.2083	-175.6999	-3.4707	-167.4454	5.5573	43.3252	200.246	-175.7772	-3.3616	-167.3907	0.07
Static.experiemt->EE.Origin	Path_3	2024-10-10-14-56-16.05	15.0082	45.7966	208.263	-175.5362	-2.9927	-167.3736	14.3639	45.842	208.9051	-175.7436	-3.3819	-167.3883	0.91
Static.experiemt->EE.Origin	Path_3	2024-10-10-14-56-16.15	22.85	48.3339	217.0862	-175.8242	-3.3298	-167.2407	22.7811	48.2475	217.1813	-175.7114	-3.4014	-167.3859	0.15
Static.experiemt->EE.Origin	Path_3	2024-10-10-14-56-16.25	32.1146	50.7277	225.4334	-175.4927	-3.1193	-167.1994	31.6444	50.7805	225.8962	-175.6775	-3.4219	-167.3835	0.66
Static.experiemt->EE.Origin	Path_3	2024-10-10-14-56-16.35	37.9755	52.2174	232.1389	-175.6791	-3.1198	-167.0934	37.1718	53.0164	232.4647	-175.9668	-3.7103	-167.5029	1.18
Static.experiemt->EE.Origin	Path_3	2024-10-10-14-56-16.45	43.0313	53.9965	236.9423	-175.6642	-3.4076	-167.1851	42.8581	54.061	237.1422	-175.7928	-3.307	-167.1843	0.27
Static.experiemt->EE.Origin	Path_3	2024-10-10-14-56-17.45	99.3213	61.6232	184.1687	-175.7212	-3.3902	-167.2472	99.0988	61.4545	183.9388	-175.8081	-3.5153	-167.3286	0.36
Static.experiemt->EE.Origin	Path_3	2024-10-10-14-56-17.55	107.6944	62.3889	175.335	-175.6597	-3.4048	-167.1362	107.5997	62.2553	175.2304	-175.6936	-3.3194	-167.1202	0.19
Static.experiemt->EE.Origin	Path_3	2024-10-10-14-56-17.65	116.2267	63.4874	166.4744	-175.699	-3.4186	-167.1771	116.1144	63.5373	166.375	-175.7251	-3.515	-167.2243	0.16
Static.experiemt->EE.Origin	Path_3	2024-10-10-14-56-17.75	124.67	64.4093	157.0804	-175.7177	-3.3269	-167.136	124.7482	64.5671	157.1733	-175.787	-3.547	-167.3194	0.2
Static.experiemt->EE.Origin	Path_3	2024-10-10-14-56-18.05	150.5028	67.6418	129.932	-175.7533	-3.5013	-167.2696	150.5459	67.7778	129.989	-175.8039	-3.6306	-167.2772	0.15
Static.experiemt->EE.Origin	Path_3	2024-10-10-14-56-18.85	218.8945	76.1774	58.1155	-175.7651	-3.6443	-167.1537	218.9412	76.3579	58.1735	-175.823	-3.3861	-167.3094	0.2
Static.experiemt->EE.Origin	Path_3	2024-10-10-14-56-18.95	227.4679	77.4006	49.5288	-175.8427	-3.5083	-167.4068	226.9311	77.2225	49.0422	-175.7855	-3.4109	-167.296	0.75
Static.experiemt->EE.Origin	Path_3	2024-10-10-14-56-19.05	233.4916	77.971	42.3676	-175.7669	-3.2475	-167.1249	233.0875	77.8887	42.0062	-175.7566	-3.4299	-167.2858	0.55
Static.experiemt->EE.Origin	Path_3	2024-10-10-14-56-19.15	238.2921	78.3524	38.027	-175.5319	-3.2075	-167.1538	237.3166	78.3463	37.1729	-175.7368	-3.4431	-167.2787	1.3
Static.experiemt->EE.Origin	Path_3	2024-10-10-14-56-19.95	201.7749	67.4886	-2.2191	-175.7397	-3.2868	-167.1922	202.0632	67.1011	-2.4004	-175.5974	-3.1382	-166.9536	0.52
Static.experiemt->EE.Origin	Path_3	2024-10-10-14-56-20.05	193.3787	65.0903	-10.455	-175.6349	-3.4349	-167.179	193.6427	64.6713	-10.602	-175.5895	-3.1703	-166.9827	0.52
Static.experiemt->EE.Origin	Path_3	2024-10-10-14-56-20.15	184.1407	62.8864	-18.9275	-175.9817	-3.6478	-167.3294	184.7221	62.0972	-19.2906	-175.5811	-3.2044	-167.0136	1.05
Static.experiemt->EE.Origin	Path_3	2024-10-10-14-56-20.25	175.8129	59.8592	-27.6682	-175.5943	-3.3131	-167.1289	176.0039	59.5816	-27.7821	-175.5728	-3.2377	-167.0437	0.36
Static.experiemt->EE.Origin	Path_3	2024-10-10-14-56-20.35	166.8754	57.4682	-36.198	-175.7272	-3.3489	-167.1377	167.1771	57.0346	-36.3793	-175.5644	-3.2713	-167.0743	0.56
Static.experiemt->EE.Origin	Path_3	2024-10-10-14-56-20.45	158.3525	55.7325	-44.7183	-175.7425	-3.4519	-167.5079	158.6519	54.5746	-44.6827	-175.5563	-3.3039	-167.1038	1.2
